Source,Charge,First Headline Name,Subject,Date,Link
RadarOnline,Dog Mishandling,Kim Zolciak,Kroy Bierman,2024/07/02,https://radaronline.com/p/kroy-biermann-cited-aggressive-dog-after-neighbor-complaint/
RadarOnline,Tax Lein,Maci Bookout,Maci Bookout,2024/06/26,https://radaronline.com/p/teen-mom-maci-book-tax-lien-owes-736k-money-issues/
Rolling Stone,Copyright Infringement,Cardi B,Cardi B,2024/07/05,https://www.rollingstone.com/music/music-news/cardi-b-enough-miami-reservation-dogs-lawsuit-1235054189/
Rolling Stone,Unpaid Wages,Kanye West,Kanye West,2024/07/01,https://www.rollingstone.com/music/music-news/kanye-west-lawsuit-hostile-workplace-unpaid-wages-minors-porn-1235050476/
Rolling Stone,Disorderly Intoxication,Travis Scott,Travis Scott,2024/06/20,https://www.rollingstone.com/music/music-news/travis-scott-arrest-disorderly-intoxication-trespassing-miami-1235042918/
Rolling Stone,Accounting Fraud,Tony Bennet,Danny Bennett,2024/06/13,https://www.rollingstone.com/music/music-news/tony-bennett-daughters-son-estate-lawsuit-1235040013/
Rolling Stone,Racial Discrimination,Alexander Morris,Ascension Macomb Oakland Hospital,2024/06/11,https://www.rollingstone.com/music/music-news/four-tops-singer-hospital-lawsuit-straitjacket-1235038270/
Rolling Stone,Copyright Infringement,Salomón Villada Hoyos (Feid),Salomón Villada Hoyos (Feid),2024/06/11,https://www.rollingstone.com/music/music-news/reggaeton-feid-sued-lawsuit-ferxxo-1235038060/
Rolling Stone,Contempt Of Court,Jeffery Lamar Williams (Young Thug),Brian Steel,2024/06/10,https://www.rollingstone.com/music/music-news/young-thug-lawyer-brian-steel-held-contempt-custody-1235037327/
Rolling Stone,Fraud,Sean Kingston,Sean Kingston,2024/05/28,https://www.rollingstone.com/music/music-news/sean-kingston-facing-10-charges-florida-fraud-case-1235028518/
Roling Stone,Trademark Infringement,Jason Bradley DeFord (Jelly Roll),Jason Bradley DeFord (Jelly Roll),2024/04/12,https://www.rollingstone.com/music/music-news/jelly-roll-sued-trademark-infringement-pa-band-jellyroll-1235003608/
Rolling Stone,Copyright Infringement,Kanye West,Kanye West,2024/02/27,https://www.rollingstone.com/music/music-news/kanye-west-sued-donna-summer-estate-copyright-infringement-1234976853/
Rolling Stone,Assault,Bebe Rhexa,Nicholas Malvanga,2024/02/23,https://www.rollingstone.com/music/music-news/bebe-rexha-attacker-charges-dismissed-community-service-1234974961/
Rolling Stone,Deceptive Trade Practices,Calvin Cordozar Broadus (Snoop Dogg),Walmart,2024/02/07,https://www.rollingstone.com/music/music-news/snoop-dogg-master-p-post-walmart-cereal-lawsuit-1234963653/
Rolling Stone,Domestic Violence,Daniel Hernandez (Tekashi 6ix9ine),Daniel Hernandez (Tekashi 6ix9ine),2024/01/18,https://www.rollingstone.com/music/music-news/tekashi-6ix9ine-arrested-dominican-republic-domestic-violence-1234948837/
Rolling Stone,Copyright Infringement,Isis Naija Gaston (Ice Spice),Isis Naija Gaston (Ice Spice),2024/01/18,https://www.rollingstone.com/music/music-news/ice-spice-copyright-infringement-lawsuit-in-ha-mood-1234948699/
Rolling Stone,Defamation,Johnathan Jamall Porter (Blueface),Johnathan Jamall Porter (Blueface),2023/12/22,https://www.rollingstone.com/music/music-news/blueface-sued-defamation-soulja-boy-son-1234935511/
Rolling Stone,Unpaid Royalties,Linkin Park (Band),Linkin Park (Band),2023/11/09,https://www.rollingstone.com/music/music-news/linkin-park-sued-bassist-royalties-1234874421/
Rolling Stone,Battery,Kiari Kendrell Cephus (Offset),Kiari Kendrell Cephus (Offset),2023/11/07,https://www.rollingstone.com/music/music-news/offset-sued-battery-security-guard-complexcon-california-1234872246/
Rolling Stone,Copyright Infringement,Mariah Carey,Mariah Carey,2023/11/01,https://www.rollingstone.com/music/music-news/mariah-carey-sued-again-all-i-want-for-christmas-is-you-1234868221/
Rolling Stone,IP Theft,Kanye West,Kanye West,2023/10/24,https://www.rollingstone.com/music/music-news/kanye-west-sued-volunteer-skid-row-video-lawsuit-1234861846/
Rolling Stone,Improper Business Practices,Coldplay (band),David Holmes,2023/10/09,https://www.rollingstone.com/music/music-news/coldplay-countersue-ex-manager-legal-battle-1234849535/
Rolling Stone,Tax Evasion,Shakira Riproll,Shakira Riproll,2023/09/26,https://www.rollingstone.com/music/music-news/shakria-charged-tax-evasion-spain-7-million-1234832235/
Rolling Stone,Unpaid Fees,Mary J Bilge,RM Talent Agency,2023/09/08,https://www.rollingstone.com/music/music-news/mary-j-blige-sues-festival-booker-unpaid-concert-fee-1234820831/
Rolling Stone,Copyright Infringement,Universal Music Group,Internet Archive,2023/08/12,https://www.rollingstone.com/music/music-news/record-labels-sue-internet-archive-412-million-copyright-infringement-lawsuit-1234806058/
Rolling Stone,Wire Fraud,Herbert Wright (G Herbo),Herbert Wright (G Herbo),2023/07/28,https://www.rollingstone.com/music/music-news/g-herbo-pleads-guilty-wire-fraud-designer-puppies-private-jets-1234797338/
Rolling Stone,Copyright Infringement,National Publishers Association,Twitter,2023/06/14,https://www.rollingstone.com/music/music-news/twitter-sued-for-music-copyright-infringement-1234771702/
Rolling Stone,Drug Posession,Paul Cauthen,Paul Cauthen,2023/05/20,https://www.rollingstone.com/music/music-country/paul-cauthen-cancels-shows-arrest-drug-charges-1234739099/
Rolling Stone,Stock Manipulation,Kanye West,Adidas,2023/04/30,https://www.rollingstone.com/music/music-news/kanye-west-class-action-lawsuit-adidas-1234726441/
Rolling Stone,Copyright Infringment,Katy Perry,Katie Perry,2023/04/28,https://www.rollingstone.com/music/music-news/katy-perry-trademark-battle-with-katie-perry-rules-in-designers-favor-1234725557/
Rolling Stone,Drug Posession,Jeffery Lamar Williams (Young Thug),Anastassios Manettas,2023/04/20,https://www.rollingstone.com/music/music-news/young-thug-ysl-trial-lawyer-arrested-1234720466/
Rolling Stone,Filming Jury Selection,Jeffery Lamar Williams (Young Thug),Cathy Russon,2023/04/03,https://www.rollingstone.com/music/music-news/ysl-case-potential-juror-jail-filming-1234708686/
Rolling Stone,Copyright Infringement,Aubery Drake Graham (Drake),Aubery Drake Graham (Drake),2023/04/19,https://www.rollingstone.com/music/music-news/drake-copyright-infringement-lawsuit-calling-my-name-sample-1234717818/
Rolling Stone,Trademark Infringement,Miles Parks McCollum (Lil Yachty),Opulous,2023/04/11,https://www.rollingstone.com/music/music-news/lil-yachty-settles-infringement-lawsuit-nft-opulous-1234713148/
Rolling Stone,Inadequate Security,Karim Kharbouch (French Montana),Karim Kharbouch (French Montana),2023/03/20,https://www.rollingstone.com/music/music-news/french-montana-sued-music-video-shooting-1234700157/
Rolling Stone,Trademark Infringement,"Earth\, Wind & Fire IP LLC",Substantial Music Group,2023/03/08,https://www.rollingstone.com/music/music-news/earth-wind-and-fire-copyright-infringement-lawsuit-1234692630/
Rolling Stone,Unpaid Royalties,Bertelsmann Music Group,Bertelsmann Music Group,2023/01/13,https://www.rollingstone.com/music/music-news/lawsuit-bmg-uptown-funk-royalties-gap-band-heirs-1234660379/
Rolling Stone,Unpaid License Fees,Triller,Triller,2023/01/06,https://www.rollingstone.com/music/music-news/triller-sued-universal-music-publishing-1234656935/
Rolling Stone,Unpaid Royalties,Black Sheep (band),Universial Media Group,2023/01/04,https://www.rollingstone.com/music/music-news/black-sheep-class-action-universal-music-spotify-1234655904/
Rolling Stone,Copyright Infringement,Jonathan Lyndale Kirk (DaBaby),Jonathan Lyndale Kirk (DaBaby),2022/12/12,https://www.rollingstone.com/music/music-news/dababy-copyright-lawsuit-rockstar-1234645951/
Rolling Stone,Copyrigth Infringement,Rodrick Wayne Moore (Roddy Rich),Rodrick Wayne Moore (Roddy Rich),2022/12/06,https://www.rollingstone.com/music/music-news/roddy-ricch-the-box-lawsuit-copyright-infringement-1234642713/
Rolling Stone,Copyright Infringement,Ed Sheeran,Ed Sheeran,2022/09/30,https://www.rollingstone.com/music/music-news/copyright-infringement-lawsuit-ed-sheeran-thinking-out-loud-marvin-gaye-trial-1234602815/
Rolling Stone,Drug Posession,Willie Maxwell (Fetty Wap),Willie Maxwell (Fetty Wap),2022/08/22,https://www.rollingstone.com/music/music-news/fetty-wap-guilty-plea-federal-drug-charges-1234579314/
Rolling Stone,Unpaid Fees,Kanye West,Kanye West,2022/07/15,https://www.rollingstone.com/music/music-news/kanye-west-left-production-company-hanging-for-7-1-million-new-lawsuit-claims-1383646/
Rolling Stone,Copyright Infringement,Kanye West,Kanye West,2022/06/30,https://www.rollingstone.com/music/music-news/kanye-west-flowers-donda-2-lawsuit-sample-move-your-body-1376462/
Rolling Stone,Copyright Infringement,Ed Sheeran,Ed Sheeran,2022/06/22,https://www.rollingstone.com/music/music-news/ed-sheeran-shape-of-you-trial-win-1333494/
