David Eddings; Randy Pitchford Case
Henry Samuel; Tracey Birdsall Case
Amadou “Abe” Diaw; Chris Brown Case
Murray Miller; Aurora Perrineau Case
Eliza Dushku; Joel Kramer Case
Michael Weatherly; Eliza Duskhu Case
"Kaitlyn Terpstra, Arielle Pizarro, Kim; Ben Vereen Case"
Kris Wu; Du Meizhu Case
Wendy Gaye; Marvin Gaye III Case
"Noel Clarke; Joanne Hayes, Jenna, Monica, Jane Doe Case"
Jacky Jasper; Charlie Sheen Case
Michael Cohen; Donald Trump Case
Catherine Sheehan; Jack Nicholson Case
Thomas Manzo; Dave Cantin; John Perna Case
Teairra Mari; 50 Cent Case
T.J. Stone; Over a Dozen People Case
Michael Ovitz Case
Clarence Thomas; Anita Hill Case
Minors; James Charles Case
David Guillod; 21-Year-Old Woman Case
Laura Leal; Nick Gordon Case
"AJ Calloway; Sil Lai Abrams, Jeannie Delgado, Four Other Women Case"
Charisma Carpenter; Joss Whedon Case
John Doe; Eliza Dushku Case
Chloe Dykstra; Chris Hardwick Case
"Brandt Osborn, Michael Ansbach, David Pearce; Christy Giles, Hilda Marcela Cabrales-Arzola Case"
Malika Anderson; Ian Connor Case
Ed Henry; Jennifer Eckhart Case
"Catherine FitzGerald; Lily James, Dominic West Case"
"John Hockenberry; Suki Kim, Rebecca Carroll, Farai Chideya Case"
"Coco Rocha, Abbey Lee, Other Models; Patrick Demarchelier Case"
"Peter Martins; Kathryn Morgan, Kelly Cass-Boal, Jeffrey Edwards, Victor Ostrovsky, Other Dancers Case"
"Linda Vester, Jane Doe; Tom Brokaw Case"
Paul Reubens Case
"Sheldon Stephens, Cecil Singleton, John Doe; Kevin Clash Case"
"Gary Glitter; 12, 13-Year-Old Girls Case"
"Laura Trimble Elbogen, Alexis Zamlich, Lisetta Koe, Stella Lee, Judi Shade Monk, Carol Vena-Mondt; Richard Meier Case"
Jeffrey Jones; 14-Year-Old Boy Case
"11, 15-Year-Old Girls; Jon Heely Case"
Mark Salling Case
"Suellen Sheehan, Theresa Tolken; Bob Hewitt Case"
"Bikram Choudhury; Jill Lawler, Sarah Baughn, Larissa Anderson, Others Case"
Bette Midler; Geraldo Rivera Case
Leon Wieseltier; Sarah Wildman Case
"Robyn Byrd, Katie Rice; John Kricfalusi Case"
Bob Filner; Irene McCormack Case
Susan Bertram; Robert Knepper Case
"Bruce Weber; Josh Ardolf, Anthony Baldwin, Jacob Madden, Jnana Van Oijen Case"
Asia Argento; Rob Cohen Case
Michael Oreskes; Two Women Case
"Sylvia, Cécile, Claire Nouvian, and Fourth Woman; Nicolas Hulot Case"
Paul Haggis; Haleigh Breest Case
Ashok “Shoky” Pai; James Levine Case
"Les Moonves; lleana Douglas, Janet Jones, Christine Peters, Dinah Kirgo, Kimberly, and Jane Doe Case"
"Sarah Tither-Kaplan, Violet Paley, Hilary Dusome, Natalie Chmiel, Katie Ryan; James Franco Case"
Jason Derulo; Emaza Gibson Case
"Dylan Farrow, Mia Farrow; Woody Allen Case"
"Jacques Doillon, Benoît Jacquot; Judith Godrèche Case"
"Michael Egan; Bryan Singer, Garth Ancier, David Neuman, Gary Goddard Case"
Jonathan Majors; Grace Jabbari Case
Kesha Rose Sebert; Lukasz Gottwald Case
Bernardo Bertolucci; Maria Schneider Case
"Jeannette McCurdy, Daniella Monet; Dan Schneider Case"
Seth Sabal; Ashley Grace Case
Jane Doe; O Yeong-Su Case
Kenneth Howard Dolin; Four Women Case
"Emily, Jane; Vincent Gallo Case"
Marcellus Wiley; Jane Doe Case
Kiana Parker; Chet Hanks Case
Darius Jackson; Keke Palmer Case
"Barrett Pall and Over 100 Others; Mike Jeffries, Matthew Smith Case"
Charlie Walk; Tristan Coopersmith Case
"Kelly Nolan and Others; Leonard Lopate, Jonathan Schwartz Case"
Ezra Miller; Tokata Iron Eyes Case
"Clayra Beau, Bailey Rae, Felicity Feline, Rachel, Anna; Donald Vollenweider Case"
Alexander Wang; 11 Male Models Case
"Laurie Marsden, Lisa Brinkworth, 13 Other Women; Gérald Marie Case"
Junot Díaz; Zinzi Clemmons Case
Susan Brady; Michael Douglas Case
"Charles Dutoit; Soprano Sylvia McNair, Paula Rasmussen, Jenny Q. Chai, Jane Doe Case"
Alice Glass; Ethan Kath (Claudio Palmieri) Case
Benny Medina; Jason Dottley Case
Kailey Kaminsky; Carter Oosterhouse Case
Chris Savino; A Dozen Women Case
Ayissha Morgan; Nev Schulman Case
Gene Simmons; Victoria Jackson Case
James Frost-Winn; Boyd Tinsley Case
Matthew Weiner; Kater Gordon Case
Erica Kinsman; Jameis Winston Case
Glenn Thrust; Four Women Case
11 Men and Women; Tom Ashbrook Case
Ryan Lizza; Jane Doe Case
At Least Four Employees; Jerry Richardson Case
"Adam Fields; Leslie Dixon, Melissa Philipian, Jane Doe Case"
"Jenny Kern, Tessa Goss, Mandy June Turpin, Jacqueline Mueller, Catherine Black; Andy Henry Case"
"Gilbert Rozon; Martine Roy, Marylena Sicari, Guylaine Courcelles Case"
Isa Hackett; Roy Price Case
Miguel; Xian Bass Case
"Colleen Calvo, Deborah Harris, Orit Gat, Shane Ferro, and Several Other Women; Benjamin Genocchio Case"
Kirt Webster; Austin Rick Case
Female Employees; Hamilton Fish Case
Ken Baker; Two Women Case
Performers; Rick Najera Case
Sammy Davis Jr.; Kim Novak Case
"Heidi Bond, Emily Murphy, Dahlia Lithwick, Nancy Rapoport, Leah Litman, Christine O.C. Miller, 9 Other Women; Alex Kozinski Case"
Warren Moon; Wendy Haskell Case
Emily Ratajkowski; Jonathan Leder Case
Robin Thicke; Emily Ratajkowski Case
Kevin Sorbo; Gianni Versace Case
"Stephen Collins; April Price, Two Other Victims Case"
Sex Worker; Vince Offer Case
Karl Templer; 3 Anonymous Models Case
"Peggy Satterlee, Betty Hansen; Errol Flynn Case"
Roscoe “Fatty” Arbuckle; Virginia Rappe Case
Carmen Electra; Dennis Rodman Case
Eric Weinberg; Multiple Women Case
Josh Duggar Case
Johnny Depp; Amber Heard Case
Lisa Gentile; Chris Noth Case
John Stamos; Finland Woman Case
Drake Bell; Dan Sneider Case
Jim Cummings; Stephanie Jardon Case
Jerry Harris Case
Robert Durst; Kathleen Durst Case
Jessie Moses; Jon Jones Case
Tyga; Camaryn Swanson Case
57 Women Including Jonna Laursen; Peter Nygård Case
Woody Allan; Dylan Farrow Case
"Abby Schachner, Dana Min Goodman, Julia Wolov; Louis C.K. Case"
Richard Sherman; Ashley Sherman Case
Evan Peters; Emma Roberts Case
Allison Mack; Jane Does Case
Lana Clarkson; Phil Spector Case
Marcell Ozuna; Génesis Guzmán Case
"Jane Doe 1, Ashley, Sabrina Peterson; TI, Tiny Case"
Chris D’Elia; Jane Doe Case
Deborah Martin; Peter Yarrow Case
Kevin Cosculluela; Underage Girls Case
Johnnie Faye Cartwright; Zachary Ty Bryan Case
Kevin Spacey; Anthony Rapp Case
Lezlye and Kelly Rivera; Irwin Rivera Case
Charlie Sheen; Brooke Mueller Case
Amanda Segel; Bob Weinstein Case
Ben Affleck; Hilarie Burton Case
Hilarie Burton; Mark Shwahn Case
Jeffrey Tambor; Trace Lysette Case
16-year-old Girl; Sylvester Stallone Case
Sylvester Stallone; Toni-Ann Filiti Case
"40 women Including Louise Post, Rachel McAdams, Selma Blair; James Toback Case"
Oliver Stone; Carrie Stevens Case
Jane Doe; Andrew Kreisberg Case
Andrew Kreisberg; 15 Coworkers Case
Melissa Benoist; Blake Jenner Case
Charlie Rose; 8 Women Including Joana Matthias Case
Rashida Jones; John Lasseter Case
"Mark Halperin; 12 Women Including Laura E., Maggie Haberman Case"
"Natasha Henstridge, Olivia Munn; Brett Ratner Case"
John Besh; Dominique Ranieri Case
Eden Rohatensky; Lockhart Steele Case
Matt Lauer; Brooke Nevils Case
"Alice, Nadia, Phoebe, Olivia, Dannii Minogue; Russell Brand Case"
Jimmy Savile; Many John and Jane Does Case
"Paula Abdul, Two Former Contestants on All-American Girl; Nigel Lythgoe Case"
Tommy Lee; Jane Doe Case
Jane Does 1-3; Sebastian Chacon Case
"Percy Hynes White; Milkievich, Desiree Cameron Case"
"Alexa Nikolas, Sarah Brady; Jonah Hill Case"
Jimmie Allen; Jane Doe Case
Rodney “Lil Rod” Jones; Cuba Gooding Jr. Case
Snoop Dogg; Jane Doe Case
John and Jane Does; Jeff Garlin Case
Ansel Elgort; Gabby Case
Melissa Kester; Dustin Hoffman Case
Ed Westwick; Kristina Cohen and Aurelie Wynn Case
Sarah Hyland; Matt Prokop Case
Christian Slater; Michelle Jonas Case
Two Women; Brent Sass Case
John Travolta; Masseur Case
Jane Doe; Ceelo Green Case
Tupac; Ayanna Jackson Case
Monique Greene; Nelly Case
Neil DeGrasse Tyson; Tchiya Amet el Maat Case
Underage Girls; Jared Leto Case
James Franco; Over 100 Female Students Including Sarah Tither-Kaplan and Toni Gaal Case
Nicole Peloquin; David O. Russell Case
"Lizzo; Arianna Davis, Crystal Williams, Noelle Rodriguez Case"
6 Women Including Anna Richardson; Arnold Schwarzenegger Case
David Bowie; Lori Maddox Case
Nathan Forrest Winters; Victor Salva Case
Andy Dick; Morgan Paige Case
Jessica Teich; Richard Dreyfuss Case
"Jeremy Piven; Anastasia Taneie, Amy Meador Case"
Eryn Jean Norvill; Geoffrey Rush Case
Jamie Foxx; Jane Doe Case
Jane Doe; Garrison Keillor Case
Melanie Martinez; Timothy Heller Case
Scott R. Brunton; George Takei Case
Ian Watkins; Many John and Jane Does Case
Nicole Garey; Jesse Lacey Case
Aziz Ansari; Grace Case
Vanessa Feltz and Linda Nolan; Rolf Harris Case
Stan Lee; Maria Carballo Case
Maria Carballo; Max Anderson Case
Craig McLauchlan; Tamzen Hayes Case
"Amber Tamblyn, Elizabeth Perkins; James Woods Case"
James Dashner; Jane Does Case
7 Women; Jay Asher Case
Twiggy Ramirez; Jessicka Addams Case
Sarah; TJ Miller Case
Kyle Massey; 13-Year-Old Girl Case
Madonna; Sean Penn Case
Anthony Kiedis; 14-Year-Old Girl Case
Liza Gardner; Aaron Hall Case
David Copperfield; Lacey Carroll Case
Yolanda Hadid; Zayn Case
Gérard Depardieu; Charlotte Arnould Case
Evi Quaid; Randy Quaid Case
Morgan Freeman; 8 Women Including Tyra Martin Case
8 Women including Lainey; Max Landis Case
Mario Batali; Eva DeVirgilis Case
Oksana Grigorieva; Mel Gibson Case
Nicolas Cage; Alice Kim Case
Michelle Ghent; Terrence Howard Case
Michael Fassbender; Sunawin “Leasi” Andrews Case
Minerva Portillo; Terry Richardson Case
Josh Brolin; Diane Lane Case
Evelyn Lozada; Chad Johnson Case
"Hope Solo; Teresa Obert, 17-Year-Old Son Case"
Suzie Hardy; Ryan Seacrest Case
Michael Douglas; Susan Braudy Case
Donya Fiorentino; Gary Oldman Case
Nicholas Brendon; Sarah Allison Case
Halyna Hutchins; Alec Baldwin Case
Jason Kidd; Joumana Kidd Case
Jessica Nicole Smith; Wes Scantlin Case
Rick James; Mary Sauger Case
Alicia Jacobs; Vince Neil Case
Tavis Smiley; Jane Does Case
Sanchez Martin; Ricky Martin Case
Emile Hirsch; Daniele Bernfeld Case
Hudson Madsen; Michael Madsen Case
Columbus Short; Aida Abramyan Case
Ric Flair; Jacqueline Bains Beems Case
Naya Rivera; Ryan Dorsey Case
Jane Doe; Anthony Anderson Case
Scott Rudin; Tara Vaughan Case
Kyle Carrozza Case
Marc Collins-Rector; Minors Case
Minors; Chad Shackley Case
Brock Pierce; Minors Case
Jen Harley; Ronnie Ortiz-Magro Case
Glen Campbell; Tanya Tucker Case
Tamika Lamison; Vincent Cirrincione Case
Bryan Callen; Katherine Fiore Tigerman Case
"Isabel, Pamela, Tamara, Farah, Claire, Loretta, Nyla; Tim Westwood Case"
Tony Robbins; Sophiah Koikas Case
Jaycee Chan; Jackie Chan Case
Aaron Carter; Melanie Martin Case
Barbara Springthorpe; Rick Springfield Case
Michael Avenatti; Mareli Miniutti Case
David Schwimmer Case
Anthony Weiner; 3 Jane Does Including Sydney Leathers and 15-Year-Old Girl Case
Megan Ganz; Dan Harmon Case
Eddie Berganza; Liz Gehrlein Marsham Case
Desiree Washington; Mike Tyson Case
Bill Murray; Staff Member Case
"Ryan Locke, Roman Barrett, Hugo Tillman, Josh Ardolf, Others; Mario Testino Case"
Warren Beatty; Kristina Hirsch Case
Janay Palmer; Ray Rice Case
David Hasselhoff; Pamela Hasselhoff Case
Kristyn Atwood; Mark Wahlberg Case
Eminem; Kim Scott Case
J.C; Bob Dylan Case
David Duchovny Case
Marion Brown; John Conyers Case
Greg Hardy; Rachel Ostovich Case
Jessica Canseco; Jose Canseco Case
Floyd Mayweather Jr.; Josie Harris Case
Trina Venit; Adam Venit Case
Les Wexner; Virginia Giuffre Case
Many Jane Does; Steve Wynn Case
Andre Balazs; Amanda Anka Case
Jane Does; Lorin Stein Case
Eric Schneiderman; Tanya Selvaratnam Case
Kim Zolciak
Maci Bookout
Cardi B
Kanye West
Travis Scott
Tony Bennet
Alexander Morris
Salomón Villada Hoyos (Feid)
Jeffery Lamar Williams (Young Thug)
Sean Kingston
Jason Bradley DeFord (Jelly Roll)
Kanye West
Bebe Rhexa
Calvin Cordozar Broadus (Snoop Dogg)
Daniel Hernandez (Tekashi 6ix9ine)
Isis Naija Gaston (Ice Spice)
Johnathan Jamall Porter (Blueface)
Linkin Park (Band)
Kiari Kendrell Cephus (Offset)
Mariah Carey
Kanye West
Coldplay (band)
Shakira Riproll
Mary J Bilge
Universal Music Group
Herbert Wright (G Herbo)
